bundle_id,bundle_name,bundle_version,status,parent_model_id,parent_group_name,dependent_model_id,dependent_group_name,mapping_type,multiple,quantity,min_quantity,price_override,notes,created_by,created_at,source_model_json
67abe241-e2aa-4a4c-85ab-eafc469e3e5f,test bundle 1,1,active,,root,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,root,1.0,1,1,,balaajdflakjd,amrit.ramadugu@omron.com,2025-10-23T16:30:14.202947,
67abe241-e2aa-4a4c-85ab-eafc469e3e5f,test bundle 1,1,active,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,b73d7c29-5236-11f0-8045-06eeb56cf374,3G3M1-AB004-ECT,Subjective,1.0,1,1,,balaajdflakjd,amrit.ramadugu@omron.com,2025-10-23T16:30:14.202947,
67abe241-e2aa-4a4c-85ab-eafc469e3e5f,test bundle 1,1,active,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,99ad17a4-a8ae-11ec-9abb-00d861e5865e,SYSMAC-LE201L,Objective,1.0,1,1,,balaajdflakjd,amrit.ramadugu@omron.com,2025-10-23T16:30:14.202947,
14fef2b8-8232-4c33-8881-0178d7b5c9ef,compact automation pack,1,active,,root,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,root,1.0,1,1,999.0,NX1p + sysmac + drive,amrit.ramadugu@omron.com,2025-10-23T17:08:20.365730,
14fef2b8-8232-4c33-8881-0178d7b5c9ef,compact automation pack,1,active,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,b73d7c29-5236-11f0-8045-06eeb56cf374,3G3M1-AB004-ECT,Objective,1.0,1,1,200.0,NX1p + sysmac + drive,amrit.ramadugu@omron.com,2025-10-23T17:08:20.365730,
14fef2b8-8232-4c33-8881-0178d7b5c9ef,compact automation pack,1,active,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,99ad17a4-a8ae-11ec-9abb-00d861e5865e,SYSMAC-LE201L,Objective,1.0,1,1,999.0,NX1p + sysmac + drive,amrit.ramadugu@omron.com,2025-10-23T17:08:20.365730,
766d0289-651c-40e7-b278-ed16a0388b30,VHV5 basic kit,1,active,,root,1ee23c47-e354-11ef-ae43-06eeb56cf374,VHV5-F000M023M-SRX,root,1.0,1,1,3500.0,,r10bmwm135i@gmail.com,2025-10-27T13:57:08.637393,
766d0289-651c-40e7-b278-ed16a0388b30,VHV5 basic kit,1,active,1ee23c47-e354-11ef-ae43-06eeb56cf374,VHV5-F000M023M-SRX,848612ce-716b-11ef-ae43-06eeb56cf374,VHV5-AM1,Objective,1.0,1,1,100.0,,r10bmwm135i@gmail.com,2025-10-27T13:57:08.637393,
766d0289-651c-40e7-b278-ed16a0388b30,VHV5 basic kit,1,active,1ee23c47-e354-11ef-ae43-06eeb56cf374,VHV5-F000M023M-SRX,99d2f559-a8ae-11ec-9abb-00d861e5865e,V430-W8-3M,Objective,1.0,1,1,150.0,,r10bmwm135i@gmail.com,2025-10-27T13:57:08.637393,
766d0289-651c-40e7-b278-ed16a0388b30,VHV5 basic kit,1,active,1ee23c47-e354-11ef-ae43-06eeb56cf374,VHV5-F000M023M-SRX,a683d1c1-a8ae-11ec-9abb-00d861e5865e,61-9000134-02,Objective,1.0,1,1,150.0,,r10bmwm135i@gmail.com,2025-10-27T13:57:08.637393,
3c0f7f61-af98-4220-b876-fba8fb535ff5,nx1p plus hmi,1,active,,root,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,root,1.0,1,1,999.0,,amrit.ramadugu@omron.com,2025-10-27T14:45:59.915582,
3c0f7f61-af98-4220-b876-fba8fb535ff5,nx1p plus hmi,1,active,9835aca7-a8ae-11ec-9abb-00d861e5865e,NX1P2-9024DT1,cb196b79-fd1a-11ec-8154-06b0b047f0f6,NA5-15W101B-V1,Objective,1.0,1,1,1500.0,,amrit.ramadugu@omron.com,2025-10-27T14:45:59.915582,
